repo_name,ref,path,symlink_target,docker_base_image
brandonroberts/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
gkalpak/angular,refs/heads/master,aio/aio-builds-setup/dockerbuild/Dockerfile,,buster
vincent-noel/SigNetSim,refs/heads/master,scripts/docker-py3/Dockerfile,,stretch
msreis/SigNetSim,refs/heads/master,scripts/docker-py3/Dockerfile,,stretch
Foorgol/QTournament,refs/heads/master,AppImage/Dockerfile_BuildEnv,,buster
konstruktoid/dockerfiles,refs/heads/master,texlive/Dockerfile,,buster
rothgar/dockerfiles,refs/heads/master,texlive/Dockerfile,,buster
maddinat0r/docker-debian-samp,refs/heads/master,Dockerfile,,stretch
dirkfeytons/packages,refs/heads/master,.circleci/Dockerfile,,9
Perl/docker-perl,refs/heads/master,5.034.000-slim-buster/Dockerfile,,buster
ejona86/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.6_x64/Dockerfile,,stretch
nicolasnoble/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.6_x64/Dockerfile,,stretch
vjpai/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.6_x64/Dockerfile,,stretch
donnadionne/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.6_x64/Dockerfile,,stretch
HalCanary/skia-hc,refs/heads/master,infra/gcc/Debian10-mips64el/Dockerfile,,10
endlessm/chromium-browser,refs/heads/master,third_party/skia/infra/gcc/Debian10-mips64el/Dockerfile,,10
acch/XML-to-bootstrap,refs/heads/master,Dockerfile,,stretch
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/interoptest/grpc_interop_pythonasyncio/Dockerfile,,11
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/interoptest/grpc_interop_pythonasyncio/Dockerfile,,11
grpc/grpc,refs/heads/master,tools/dockerfile/interoptest/grpc_interop_pythonasyncio/Dockerfile,,11
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_6/Dockerfile,,stretch
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_6/Dockerfile,,stretch
ctiller/grpc,refs/heads/master,tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_6/Dockerfile,,stretch
grpc/grpc,refs/heads/master,tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_6/Dockerfile,,stretch
dooman87/imagemagick-docker,refs/heads/master,Dockerfile.buster,,buster
joelnb/dumb-init-docker,refs/heads/master,debian-stretch/Dockerfile,,stretch
nabeken/docker-smtp-sink,refs/heads/master,Dockerfile,,10
lincheney/journald-2-cloudwatch,refs/heads/master,Dockerfile,,buster
Deleplace/cool-maze,refs/heads/master,B3/Dockerfile,,buster
Perl/docker-perl,refs/heads/master,"eol/5.018.004-slim,threaded-buster/Dockerfile",,buster
vincent-noel/libSigNetSim,refs/heads/master,scripts/docker-py2/Dockerfile,,stretch
crops/yocto-dockerfiles,refs/heads/master,dockerfiles/debian/debian-11/debian-11-base/Dockerfile,,11
konstruktoid/dockerfiles,refs/heads/master,rt-tests/Dockerfile,,buster
kdabir/has,refs/heads/master,tests/containers/debian.Dockerfile,,buster
kdabir/dq,refs/heads/master,tests/containers/debian.Dockerfile,,buster
Nascom/operate-dockerfiles,refs/heads/master,php/7.1/stretch/base/Dockerfile,,stretch
jeremyletang/whl-puller,refs/heads/master,docker/Dockerfile-deploy,,stretch
camptocamp/r10k-dashboard,refs/heads/master,Dockerfile,,stretch
nexdatas/selector,refs/heads/develop,.ci/debian9_py3/Dockerfile,,stretch
QuadStingray/docker-mongodb,refs/heads/master,Dockerfile,,10
GoogleCloudPlatform/cloud-foundation-fabric,refs/heads/master,modules/cloud-config-container/squid/docker/Dockerfile,,buster
markahesketh/ansible-role-ufw,refs/heads/master,molecule/default/.molecule/Dockerfile_debian_9,,9
composit/slowmo,refs/heads/master,Dockerfile,,buster
DarthSim/imgproxy,refs/heads/master,.circleci/Dockerfile,,buster
ngoduykhanh/PowerDNS-Admin,refs/heads/master,docker-test/Dockerfile,,stretch
tzulitai/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
gyfora/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
clarkyzl/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
fhueske/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
shaoxuan-wang/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
sunjincheng121/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
kaibozhou/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
mbode/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
bowenli86/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
xccui/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
kl0u/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
jinglining/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
rmetzger/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
aljoscha/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
greghogan/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
hequn8128/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
darionyaphet/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
GJL/flink,refs/heads/master,flink-jepsen/docker/Dockerfile-db,,stretch
aadl/docker-cups,refs/heads/master,2.2.1/Dockerfile,,stretch
moosefs/moosefs-docker-cluster,refs/heads/master,moosefs-master/Dockerfile,,buster
GoogleContainerTools/kaniko,refs/heads/main,integration/dockerfiles/Dockerfile_test_user_run,,9.11
oneguynick/insync,refs/heads/master,Dockerfile,,stretch
ofesseler/gluster_exporter,refs/heads/master,Dockerfile,,stretch
dborgesr/Euplotid,refs/heads/master,EupublishDockerImage/Dockerfile,,stretch
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_7/Dockerfile,,stretch
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_7/Dockerfile,,stretch
ctiller/grpc,refs/heads/master,tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_7/Dockerfile,,stretch
grpc/grpc,refs/heads/master,tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_7/Dockerfile,,stretch
appcom-interactive/docker-nodejs,refs/heads/master,Dockerfile-debian-9,,stretch
fungusakafungus/collect_docker_logs,refs/heads/master,Dockerfile,,stretch
passbolt/passbolt_docker,refs/heads/master,debian/Dockerfile.rootless,,bullseye
William-Yeh/docker-ansible,refs/heads/master,debian9/Dockerfile,,stretch
joshuacox/mkdomoticz,refs/heads/master,Dockerfile,,buster
InfraBox/infrabox,refs/heads/master,src/db/Dockerfile,,9.3
konstruktoid/dockerfiles,refs/heads/master,debootstrap/Dockerfile,,buster
massayoshi/mongoid,refs/heads/master,release/mri/Dockerfile,,10
mongodb/mongoid,refs/heads/master,release/mri/Dockerfile,,10
jackwasey/rocker-ubsan,refs/heads/master,old/r-debian-gcc-6/Dockerfile,,stretch
cyrillegin/Aquaponics,refs/heads/master,docker/app/Dockerfile,,stretch
muxi/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.5_x64/Dockerfile,,stretch
jboeuf/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.5_x64/Dockerfile,,stretch
firebase/grpc-SwiftPM,refs/heads/main,tools/dockerfile/test/python_stretch_3.5_x64/Dockerfile,,stretch
basepi/hubble,refs/heads/develop,pkg/coreos/Dockerfile,,9
HubbleStack/Hubble,refs/heads/develop,pkg/coreos/Dockerfile,,9
lbausch/laravel-ci,refs/heads/master,Dockerfile,,bullseye
baszoetekouw/SCZ-deploy,refs/heads/master,docker/lb/Dockerfile,,stretch
uber/kraken,refs/heads/master,docker/proxy/Dockerfile,,10
GordonLesti/SlidingWindowFilter,refs/heads/master,Dockerfile,,9
mksh/aiobasex,refs/heads/master,docker/test_py35/Dockerfile,,stretch
brianrob/coretests,refs/heads/master,managed/dotnet_sdk_firstrun/Dockerfile,,buster
pgentile/tests-docker,refs/heads/master,graphite/go-carbon/Dockerfile,,stretch
madrisan/cv,refs/heads/master,docker/Dockerfile,,buster
c0b/docker-erlang-otp,refs/heads/master,20/slim/Dockerfile,,stretch
arcenik/docker-authfromhost,refs/heads/master,debian-buster-slim/Dockerfile,,buster
google/protobuf,refs/heads/master,kokoro/linux/dockerfile/test/java_stretch/Dockerfile,,stretch
grpc/grpc-ios,refs/heads/main,native_src/third_party/protobuf/kokoro/linux/dockerfile/test/java_stretch/Dockerfile,,stretch
baszoetekouw/SCZ-deploy,refs/heads/master,docker/ldap/Dockerfile,,stretch
ZimmSebas/SecretHitlerBot,refs/heads/master,Dockerfile_test,,stretch
argent-smith/boinc_docker,refs/heads/master,docker/amd64/Dockerfile,,stretch
tinned/tinned-cvc4,refs/heads/master,Dockerfile,,stretch
alanbrent/dockerfiles,refs/heads/master,fontpatcher/Dockerfile,,stretch
lzhang10/maxent,refs/heads/master,docker/Dockerfile.debian10,,10
zzzz401/DockerContainers,refs/heads/master,Apache/Dockerfile,,stretch
krzyzacy/test-infra,refs/heads/master,maintenance/aws-janitor/cmd/aws-janitor-boskos/Dockerfile,,stretch
ixdy/kubernetes-test-infra,refs/heads/master,boskos/aws-janitor/cmd/aws-janitor-boskos/Dockerfile,,stretch
lavalamp/test-infra,refs/heads/master,maintenance/aws-janitor/cmd/aws-janitor-boskos/Dockerfile,,stretch
radarsat1/siconos,refs/heads/master,ci_gitlab/dockerfiles/debian-stretch/Dockerfile,,stretch
gurka/gameserver,refs/heads/master,Dockerfile.login,,bullseye
google/android-emulator-container-scripts,refs/heads/master,js/jwt-provider/Dockerfile,,stretch
jamesqj/jexus,refs/heads/master,Dockerfile,,buster
jtattermusch/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_default_x64/Dockerfile,,stretch
AZURECITADEL/azurecitadel.github.io,refs/heads/master,.devcontainer/Dockerfile,,9
pushtechnology/docker-logstash,refs/heads/master,Dockerfile,,stretch
greenaddress/WalletCrx,refs/heads/master,contrib/Dockerfile,,stretch
axbaretto/beam,refs/heads/master,website/Dockerfile,,stretch
iemejia/incubator-beam,refs/heads/master,website/Dockerfile,,stretch
robertwb/incubator-beam,refs/heads/master,website/Dockerfile,,stretch
lukecwik/incubator-beam,refs/heads/master,website/Dockerfile,,stretch
brianrob/coretests,refs/heads/master,managed/time_to_main/docker/archive/mono/Dockerfile,,stretch
Perl/docker-perl,refs/heads/master,"eol/5.028.003-slim,threaded-buster/Dockerfile",,buster
striezel/meteor-chess,refs/heads/master,Dockerfile,,10
braintree/braintree_php,refs/heads/master,Dockerfile,,buster
mixalturek/xsysguard,refs/heads/master,docker/Dockerfile,,buster
gnuradio/pybombs,refs/heads/master,tests/docker/debian_buster/Dockerfile,,buster
JetBrains/teamcity-deployer-plugin,refs/heads/master,build/ftp-servers/vsftpd/Dockerfile,,11.2
lhelontra/tensorflow-on-arm,refs/heads/master,build_tensorflow/Dockerfile,,buster
javier-ruiz-b/docker-rasppi-images,refs/heads/master,rpi-image-builder/docker/Dockerfile,,buster
apiaryio/docker-base-images,refs/heads/master,drafter-ci/clang-4.0/Dockerfile,,stretch
opencb/opencga,refs/heads/develop,opencga-app/app/cloud/docker/opencga-ext-tools/Dockerfile,,bullseye
trustm3/trustme_build,refs/heads/dunfell,yocto/docker/Dockerfile,,buster
sanguinariojoe/FreeCAD,refs/heads/master,tools/build/Dockerfile.Debian,,bullseye
Synerty/synerty-peek,refs/heads/master,gitlab/v2.5.x/linux/peek-linux:v2.5.x.Dockerfile,,9
weiji14/cryospheric-data-lakes,refs/heads/master,code/docker/jupyter-lab/Dockerfile,,buster
jbuddha/OpenRank,refs/heads/master,framework/nodejs/Dockerfile,,stretch
sm00th/bitlbee-discord,refs/heads/master,contrib/docker/Dockerfile,,buster
dvoraka/av-service,refs/heads/master,docker/openldap/Dockerfile,,stretch
mariolukas/FabScanPi-Server,refs/heads/develop,docker/Dockerfile,,buster
mongodb/mongo-ruby-driver,refs/heads/master,release/mri/Dockerfile,,10
mongodb/bson-ruby,refs/heads/master,release/mri/Dockerfile,,10
pgentile/tests-docker,refs/heads/master,net-tools/Dockerfile,,stretch
braintree/braintree_ruby,refs/heads/master,Dockerfile,,buster
hacdias/caddy-hugo,refs/heads/master,Dockerfile.debian,,buster
lzhang10/maxent,refs/heads/master,docker/Dockerfile.debian11,,11
spiritloose/protobuf-perlxs,refs/heads/master,Dockerfile,,buster
Ultimaker/cura-build-environment,refs/heads/master,docker/linux/Dockerfile.debian,,buster
Synerty/synerty-peek,refs/heads/master,gitlab/sonar/peek-linux-sonar.Dockerfile,,10
joelnb/dumb-init-docker,refs/heads/master,debian-buster/Dockerfile,,buster
Zubnix/jni-cross-compilers,refs/heads/master,linux/Dockerfile,,stretch
sdhoward/docker-library,refs/heads/master,x86_64/strongswan/Dockerfile,,stretch
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/interoptest/grpc_interop_cxx/Dockerfile,,11
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/interoptest/grpc_interop_cxx/Dockerfile,,11
ctiller/grpc,refs/heads/master,tools/dockerfile/interoptest/grpc_interop_cxx/Dockerfile,,11
grpc/grpc,refs/heads/master,tools/dockerfile/interoptest/grpc_interop_cxx/Dockerfile,,11
Nascom/operate-dockerfiles,refs/heads/master,php/7.4/bullseye/cli/Dockerfile,,bullseye
Perl/docker-perl,refs/heads/master,5.030.003-slim-bullseye/Dockerfile,,bullseye
woohoolabs/docker-base,refs/heads/master,beanstalkd/Dockerfile,,9.1
arangodb/arangodb-docker,refs/heads/official,Dockerfile33.local,,stretch
nexdatas/writer,refs/heads/develop,.ci/debian10_py2/Dockerfile,,buster
DavadDi/actor-framework,refs/heads/master,.ci/debian-10/Dockerfile,,10
actor-framework/actor-framework,refs/heads/master,.ci/debian-10/Dockerfile,,10
sunfoxcz/ansible-dkim,refs/heads/master,tests/debian/buster/Dockerfile,,buster
arcenik/docker-authfromhost,refs/heads/master,debian-bullseye-slim/Dockerfile,,bullseye
telyn/bgm,refs/heads/master,Dockerfile,,buster
MediaKraken/MediaKraken_Deployment,refs/heads/master,docker/debian/ComposeMediaKrakenMooseFSChunkServerClient/Dockerfile,,stretch
