repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
moosefs/moosefs-docker-cluster,refs/heads/master,moosefs-master/Dockerfile,,buster,moosefs,moosefs-docker-cluster
GoogleContainerTools/kaniko,refs/heads/main,integration/dockerfiles/Dockerfile_test_user_run,,9.11,GoogleContainerTools,kaniko
oneguynick/insync,refs/heads/master,Dockerfile,,stretch,oneguynick,insync
ofesseler/gluster_exporter,refs/heads/master,Dockerfile,,stretch,ofesseler,gluster_exporter
dborgesr/Euplotid,refs/heads/master,EupublishDockerImage/Dockerfile,,stretch,dborgesr,Euplotid
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_7/Dockerfile,,stretch,stanley-cheung,grpc
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/distribtest/ruby_stretch_x64_ruby_2_7/Dockerfile,,stretch,grpc,grpc-ios
appcom-interactive/docker-nodejs,refs/heads/master,Dockerfile-debian-9,,stretch,appcom-interactive,docker-nodejs
fungusakafungus/collect_docker_logs,refs/heads/master,Dockerfile,,stretch,fungusakafungus,collect_docker_logs
passbolt/passbolt_docker,refs/heads/master,debian/Dockerfile.rootless,,bullseye,passbolt,passbolt_docker
William-Yeh/docker-ansible,refs/heads/master,debian9/Dockerfile,,stretch,William-Yeh,docker-ansible
joshuacox/mkdomoticz,refs/heads/master,Dockerfile,,buster,joshuacox,mkdomoticz
InfraBox/infrabox,refs/heads/master,src/db/Dockerfile,,9.3,InfraBox,infrabox
konstruktoid/dockerfiles,refs/heads/master,debootstrap/Dockerfile,,buster,konstruktoid,dockerfiles
massayoshi/mongoid,refs/heads/master,release/mri/Dockerfile,,10,massayoshi,mongoid
jackwasey/rocker-ubsan,refs/heads/master,old/r-debian-gcc-6/Dockerfile,,stretch,jackwasey,rocker-ubsan
cyrillegin/Aquaponics,refs/heads/master,docker/app/Dockerfile,,stretch,cyrillegin,Aquaponics
muxi/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_3.5_x64/Dockerfile,,stretch,muxi,grpc
firebase/grpc-SwiftPM,refs/heads/main,tools/dockerfile/test/python_stretch_3.5_x64/Dockerfile,,stretch,firebase,grpc-SwiftPM
basepi/hubble,refs/heads/develop,pkg/coreos/Dockerfile,,9,basepi,hubble
HubbleStack/Hubble,refs/heads/develop,pkg/coreos/Dockerfile,,9,HubbleStack,Hubble
lbausch/laravel-ci,refs/heads/master,Dockerfile,,bullseye,lbausch,laravel-ci
baszoetekouw/SCZ-deploy,refs/heads/master,docker/lb/Dockerfile,,stretch,baszoetekouw,SCZ-deploy
uber/kraken,refs/heads/master,docker/proxy/Dockerfile,,10,uber,kraken
GordonLesti/SlidingWindowFilter,refs/heads/master,Dockerfile,,9,GordonLesti,SlidingWindowFilter
mksh/aiobasex,refs/heads/master,docker/test_py35/Dockerfile,,stretch,mksh,aiobasex
brianrob/coretests,refs/heads/master,managed/dotnet_sdk_firstrun/Dockerfile,,buster,brianrob,coretests
pgentile/tests-docker,refs/heads/master,graphite/go-carbon/Dockerfile,,stretch,pgentile,tests-docker
madrisan/cv,refs/heads/master,docker/Dockerfile,,buster,madrisan,cv
c0b/docker-erlang-otp,refs/heads/master,20/slim/Dockerfile,,stretch,c0b,docker-erlang-otp
arcenik/docker-authfromhost,refs/heads/master,debian-buster-slim/Dockerfile,,buster,arcenik,docker-authfromhost
google/protobuf,refs/heads/master,kokoro/linux/dockerfile/test/java_stretch/Dockerfile,,stretch,google,protobuf
grpc/grpc-ios,refs/heads/main,native_src/third_party/protobuf/kokoro/linux/dockerfile/test/java_stretch/Dockerfile,,stretch,grpc,grpc-ios
baszoetekouw/SCZ-deploy,refs/heads/master,docker/ldap/Dockerfile,,stretch,baszoetekouw,SCZ-deploy
ZimmSebas/SecretHitlerBot,refs/heads/master,Dockerfile_test,,stretch,ZimmSebas,SecretHitlerBot
argent-smith/boinc_docker,refs/heads/master,docker/amd64/Dockerfile,,stretch,argent-smith,boinc_docker
tinned/tinned-cvc4,refs/heads/master,Dockerfile,,stretch,tinned,tinned-cvc4
alanbrent/dockerfiles,refs/heads/master,fontpatcher/Dockerfile,,stretch,alanbrent,dockerfiles
lzhang10/maxent,refs/heads/master,docker/Dockerfile.debian10,,10,lzhang10,maxent
zzzz401/DockerContainers,refs/heads/master,Apache/Dockerfile,,stretch,zzzz401,DockerContainers
krzyzacy/test-infra,refs/heads/master,maintenance/aws-janitor/cmd/aws-janitor-boskos/Dockerfile,,stretch,krzyzacy,test-infra
ixdy/kubernetes-test-infra,refs/heads/master,boskos/aws-janitor/cmd/aws-janitor-boskos/Dockerfile,,stretch,ixdy,kubernetes-test-infra
gurka/gameserver,refs/heads/master,Dockerfile.login,,bullseye,gurka,gameserver
google/android-emulator-container-scripts,refs/heads/master,js/jwt-provider/Dockerfile,,stretch,google,android-emulator-container-scripts
jamesqj/jexus,refs/heads/master,Dockerfile,,buster,jamesqj,jexus
jtattermusch/grpc,refs/heads/master,tools/dockerfile/test/python_stretch_default_x64/Dockerfile,,stretch,jtattermusch,grpc
AZURECITADEL/azurecitadel.github.io,refs/heads/master,.devcontainer/Dockerfile,,9,AZURECITADEL,azurecitadel.github.io
pushtechnology/docker-logstash,refs/heads/master,Dockerfile,,stretch,pushtechnology,docker-logstash
greenaddress/WalletCrx,refs/heads/master,contrib/Dockerfile,,stretch,greenaddress,WalletCrx
axbaretto/beam,refs/heads/master,website/Dockerfile,,stretch,axbaretto,beam
iemejia/incubator-beam,refs/heads/master,website/Dockerfile,,stretch,iemejia,incubator-beam
brianrob/coretests,refs/heads/master,managed/time_to_main/docker/archive/mono/Dockerfile,,stretch,brianrob,coretests
Perl/docker-perl,refs/heads/master,"eol/5.028.003-slim,threaded-buster/Dockerfile",,buster,Perl,docker-perl
striezel/meteor-chess,refs/heads/master,Dockerfile,,10,striezel,meteor-chess
braintree/braintree_php,refs/heads/master,Dockerfile,,buster,braintree,braintree_php
mixalturek/xsysguard,refs/heads/master,docker/Dockerfile,,buster,mixalturek,xsysguard
gnuradio/pybombs,refs/heads/master,tests/docker/debian_buster/Dockerfile,,buster,gnuradio,pybombs
JetBrains/teamcity-deployer-plugin,refs/heads/master,build/ftp-servers/vsftpd/Dockerfile,,11.2,JetBrains,teamcity-deployer-plugin
lhelontra/tensorflow-on-arm,refs/heads/master,build_tensorflow/Dockerfile,,buster,lhelontra,tensorflow-on-arm
javier-ruiz-b/docker-rasppi-images,refs/heads/master,rpi-image-builder/docker/Dockerfile,,buster,javier-ruiz-b,docker-rasppi-images
apiaryio/docker-base-images,refs/heads/master,drafter-ci/clang-4.0/Dockerfile,,stretch,apiaryio,docker-base-images
opencb/opencga,refs/heads/develop,opencga-app/app/cloud/docker/opencga-ext-tools/Dockerfile,,bullseye,opencb,opencga
trustm3/trustme_build,refs/heads/dunfell,yocto/docker/Dockerfile,,buster,trustm3,trustme_build
sanguinariojoe/FreeCAD,refs/heads/master,tools/build/Dockerfile.Debian,,bullseye,sanguinariojoe,FreeCAD
Synerty/synerty-peek,refs/heads/master,gitlab/v2.5.x/linux/peek-linux:v2.5.x.Dockerfile,,9,Synerty,synerty-peek
weiji14/cryospheric-data-lakes,refs/heads/master,code/docker/jupyter-lab/Dockerfile,,buster,weiji14,cryospheric-data-lakes
jbuddha/OpenRank,refs/heads/master,framework/nodejs/Dockerfile,,stretch,jbuddha,OpenRank
sm00th/bitlbee-discord,refs/heads/master,contrib/docker/Dockerfile,,buster,sm00th,bitlbee-discord
dvoraka/av-service,refs/heads/master,docker/openldap/Dockerfile,,stretch,dvoraka,av-service
mariolukas/FabScanPi-Server,refs/heads/develop,docker/Dockerfile,,buster,mariolukas,FabScanPi-Server
mongodb/mongo-ruby-driver,refs/heads/master,release/mri/Dockerfile,,10,mongodb,mongo-ruby-driver
mongodb/bson-ruby,refs/heads/master,release/mri/Dockerfile,,10,mongodb,bson-ruby
pgentile/tests-docker,refs/heads/master,net-tools/Dockerfile,,stretch,pgentile,tests-docker
braintree/braintree_ruby,refs/heads/master,Dockerfile,,buster,braintree,braintree_ruby
hacdias/caddy-hugo,refs/heads/master,Dockerfile.debian,,buster,hacdias,caddy-hugo
lzhang10/maxent,refs/heads/master,docker/Dockerfile.debian11,,11,lzhang10,maxent
spiritloose/protobuf-perlxs,refs/heads/master,Dockerfile,,buster,spiritloose,protobuf-perlxs
Ultimaker/cura-build-environment,refs/heads/master,docker/linux/Dockerfile.debian,,buster,Ultimaker,cura-build-environment
Synerty/synerty-peek,refs/heads/master,gitlab/sonar/peek-linux-sonar.Dockerfile,,10,Synerty,synerty-peek
joelnb/dumb-init-docker,refs/heads/master,debian-buster/Dockerfile,,buster,joelnb,dumb-init-docker
Zubnix/jni-cross-compilers,refs/heads/master,linux/Dockerfile,,stretch,Zubnix,jni-cross-compilers
sdhoward/docker-library,refs/heads/master,x86_64/strongswan/Dockerfile,,stretch,sdhoward,docker-library
stanley-cheung/grpc,refs/heads/master,tools/dockerfile/interoptest/grpc_interop_cxx/Dockerfile,,11,stanley-cheung,grpc
grpc/grpc-ios,refs/heads/main,native_src/tools/dockerfile/interoptest/grpc_interop_cxx/Dockerfile,,11,grpc,grpc-ios
Nascom/operate-dockerfiles,refs/heads/master,php/7.4/bullseye/cli/Dockerfile,,bullseye,Nascom,operate-dockerfiles
Perl/docker-perl,refs/heads/master,5.030.003-slim-bullseye/Dockerfile,,bullseye,Perl,docker-perl
woohoolabs/docker-base,refs/heads/master,beanstalkd/Dockerfile,,9.1,woohoolabs,docker-base
arangodb/arangodb-docker,refs/heads/official,Dockerfile33.local,,stretch,arangodb,arangodb-docker
nexdatas/writer,refs/heads/develop,.ci/debian10_py2/Dockerfile,,buster,nexdatas,writer
DavadDi/actor-framework,refs/heads/master,.ci/debian-10/Dockerfile,,10,DavadDi,actor-framework
sunfoxcz/ansible-dkim,refs/heads/master,tests/debian/buster/Dockerfile,,buster,sunfoxcz,ansible-dkim
arcenik/docker-authfromhost,refs/heads/master,debian-bullseye-slim/Dockerfile,,bullseye,arcenik,docker-authfromhost
telyn/bgm,refs/heads/master,Dockerfile,,buster,telyn,bgm
