repo_name,ref,path,symlink_target
NikolaiIvanov/hexlet-ide,refs/heads/master,cm/vagrant.yml,
PiotrProkop/ceph-ansible,refs/heads/master,purge-cluster.yml,
shepdelacreme/ansible-lockdown,refs/heads/master,meltdown-spectre-linux.yml,
privateip/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
tux-00/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
danjac/ansible-podbaby,refs/heads/master,update-pkgs.yml,
chaosbot/Chaos,refs/heads/master,ansible/apt.yml,
hsz-devops/docker-postcfg-dm-host,refs/heads/master,src.ubuntu/src/playbooks/main.yml,
paulczar/ursula,refs/heads/master,playbooks/vagrant/predeploy.yml,
paulczar/ursula,refs/heads/master,playbooks/ci-full/tasks/pre-deploy.yml,
paulczar/ursula,refs/heads/master,playbooks/ci-allinone/tasks/pre-deploy.yml,
paulczar/ursula,refs/heads/master,upgrade.yml,
Ertinfagor/playbooks,refs/heads/master,main.yml,
donovan/catalystcloud-ansible,refs/heads/master,example-playbooks/xenial-python2-bootstrap/create-cloud-init.yml,
donovan/catalystcloud-ansible,refs/heads/master,example-playbooks/three-in-one.yaml,
donovan/catalystcloud-ansible,refs/heads/master,example-playbooks/all-in-one.yml,
donovan/catalystcloud-ansible,refs/heads/master,example-playbooks/xenial-python2-bootstrap/create-ssh.yml,
donovan/catalystcloud-ansible,refs/heads/master,example-playbooks/sot-masterclass.yml,
donovan/catalystcloud-ansible,refs/heads/master,example-playbooks/docker-swarm-mode/create-swarm-hosts.yaml,
donovan/catalystcloud-ansible,refs/heads/master,example-playbooks/xenial-python2-bootstrap/create-python-interpreter.yml,
donovan/catalystcloud-ansible,refs/heads/master,example-playbooks/xenial-python2-bootstrap/create-pre-tasks-raw.yml,
donovan/catalystcloud-ansible,refs/heads/master,example-playbooks/kubernetes-with-kubeadm/create-kubernetes-hosts.yaml,
zrs233/ursula,refs/heads/master,playbooks/ci-allinone/tasks/pre-deploy.yml,
zrs233/ursula,refs/heads/master,playbooks/ci-ceph_swift/tasks/pre-deploy.yml,
zrs233/ursula,refs/heads/master,playbooks/ci-full/tasks/pre-deploy.yml,
zrs233/ursula,refs/heads/master,playbooks/vagrant/predeploy.yml,
zrs233/ursula,refs/heads/master,upgrade.yml,
tcsatheesh/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
tcsatheesh/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
akurmi/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
10sr/server-provisions,refs/heads/master,sakura/ansible.yaml,
kurron/ansible-rabbitmq,refs/heads/master,playbook.yml,
drewkhoury/vagrant-automation-demo,refs/heads/master,playbook.yml,
michaelcapx/playbook,refs/heads/master,playbook.yml,
michaelcapx/playbook,refs/heads/master,tests/test.yml,
aurlaw/Passanager,refs/heads/master,provisioning/setup.yml,
lvnilesh/openedx-server-prep,refs/heads/master,1-ubuntu1204_single_server.yml,
persistent-ursula/ursula,refs/heads/master,playbooks/ci-ceph_swift/tasks/pre-deploy.yml,
persistent-ursula/ursula,refs/heads/master,playbooks/ci-allinone/tasks/pre-deploy.yml,
persistent-ursula/ursula,refs/heads/master,playbooks/vagrant/predeploy.yml,
persistent-ursula/ursula,refs/heads/master,playbooks/ci-full/tasks/pre-deploy.yml,
persistent-ursula/ursula,refs/heads/master,upgrade.yml,
sansible/kong,refs/heads/develop,molecule/default/playbook.yml,
jakehoward/infra-tools,refs/heads/master,ansible-playbooks/install-docker-ubuntu-14-04.yml,
jakehoward/infra-tools,refs/heads/master,ansible-playbooks/install-nginx-with-tls.yaml,
jakehoward/infra-tools,refs/heads/master,ansible-playbooks/secure-ubuntu-14-04.yml,
stevenharradine/SARAH-ManageUsers,refs/heads/master,playbook.yml,
trawick/httpd.py,refs/heads/AC2016,Django/deploy/deploy.yml,
abuzze/ansible-test,refs/heads/master,system_updates/main.yml,
erikdejonge/microservicebase,refs/heads/master,whatsmyip/ansible/install.yml,
smashwilson/azurefire-playbook,refs/heads/master,nginx.yml,
smashwilson/azurefire-playbook,refs/heads/master,accounts.yml,
smashwilson/azurefire-playbook,refs/heads/master,pushbot.yml,
smashwilson/azurefire-playbook,refs/heads/master,azurefire.yml,
xuhdev/isso,refs/heads/master,ansible/site.yml,
cmelange/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
