repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
sfauvart/docker,refs/heads/master,redmine/Dockerfile,,ubuntu:14.04,sfauvart,docker
beardedN5rd/RPConMQ,refs/heads/master,Dockerfile_base,,ubuntu:bionic,beardedN5rd,RPConMQ
nomacs/nomacs,refs/heads/master,Dockerfile,,ubuntu:xenial,nomacs,nomacs
bmamlin/svg2png,refs/heads/master,Dockerfile,,ubuntu:14.04,bmamlin,svg2png
CSC-IT-Center-for-Science/pouta-blueprints,refs/heads/master,deployment/Dockerfile,,ubuntu:14.04,CSC-IT-Center-for-Science,pouta-blueprints
GuLinux/GalaxyHunter,refs/heads/master,docker/Ubuntu-14.04/Dockerfile,,ubuntu:14.04,GuLinux,GalaxyHunter
openai/universe,refs/heads/master,Dockerfile,,ubuntu:16.04,openai,universe
gayangunarathne/stratos,refs/heads/master,tools/docker-images/stratos-docker-images/puppettestnode/Dockerfile,,ubuntu:14.04,gayangunarathne,stratos
gayangunarathne/stratos,refs/heads/master,tools/docker-images/stratos-docker-images/stratos/Dockerfile,,ubuntu:14.04,gayangunarathne,stratos
gayangunarathne/stratos,refs/heads/master,tools/docker-images/stratos-docker-images/puppetmaster/Dockerfile,,ubuntu:14.04,gayangunarathne,stratos
gayangunarathne/stratos,refs/heads/master,tools/docker-images/stratos-docker-images/mysql/Dockerfile,,ubuntu:14.04,gayangunarathne,stratos
gayangunarathne/stratos,refs/heads/master,tools/docker-images/stratos-docker-images/activemq/Dockerfile,,ubuntu:14.04,gayangunarathne,stratos
Atvaark/insomnia,refs/heads/develop,Dockerfile,,ubuntu:16.04,Atvaark,insomnia
Mokolea/atom,refs/heads/master,Dockerfile,,ubuntu:20.04,Mokolea,atom
mithro/travis-trusty,refs/heads/master,docker-base/Dockerfile,,ubuntu:14.04,mithro,travis-trusty
z00223295/kubernetes,refs/heads/master,hack/jenkins/job-builder-image/Dockerfile,,ubuntu:14.04,z00223295,kubernetes
serverdensity/sd-agent-core-plugins,refs/heads/master,.travis/dockerfiles/focal/Dockerfile,,ubuntu:18.04,serverdensity,sd-agent-core-plugins
serverdensity/sd-agent-core-plugins,refs/heads/master,.travis/dockerfiles/trusty/Dockerfile,,ubuntu:18.04,serverdensity,sd-agent-core-plugins
serverdensity/sd-agent-core-plugins,refs/heads/master,.travis/dockerfiles/bionic/Dockerfile,,ubuntu:18.04,serverdensity,sd-agent-core-plugins
serverdensity/sd-agent-core-plugins,refs/heads/master,.travis/dockerfiles/bullseye/Dockerfile,,ubuntu:18.04,serverdensity,sd-agent-core-plugins
