repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
fgrehm/pucrs-mpi-openmp-master_slave,refs/heads/master,Dockerfile,,ubuntu:14.04,fgrehm,pucrs-mpi-openmp-master_slave
ENCODE-DCC/pipeline-container,refs/heads/master,images/pool_and_pseudoreplicate/Dockerfile,,ubuntu:14.04,ENCODE-DCC,pipeline-container
hubot-grpc/ansible-runner,refs/heads/master,Dockerfile,,ubuntu:16.04,hubot-grpc,ansible-runner
casept/ansible-playbooks,refs/heads/master,roles/locales/Dockerfile,,ubuntu:16.04,casept,ansible-playbooks
CQUT/coj-judge,refs/heads/master,Dockerfile,,ubuntu:14.04,CQUT,coj-judge
aureliojargas/txt2regex,refs/heads/master,tests/Dockerfile,,ubuntu:18.04,aureliojargas,txt2regex
tomasreimers/tensorflow-emscripten,refs/heads/master,tensorflow/tools/dist_test/server/Dockerfile.test,,ubuntu:14.04,tomasreimers,tensorflow-emscripten
gmarek/perf-tests,refs/heads/master,clusterloader/vendor/github.com/docker/docker/docs/examples/running_riak_service.Dockerfile,,ubuntu:trusty,gmarek,perf-tests
ArunRamakani/bus_route_challenge,refs/heads/master,Dockerfile,,ubuntu:16.04,ArunRamakani,bus_route_challenge
michael-k/dockerfiles-jfrazelle,refs/heads/master,nmap/Dockerfile,,debian:bullseye-slim,michael-k,dockerfiles-jfrazelle
minimum-hsu/docker-openfalcon-fe,refs/heads/master,Dockerfile,,ubuntu:14.04.2,minimum-hsu,docker-openfalcon-fe
natanielruiz/android-yolo,refs/heads/master,jni-build/jni/include/tensorflow/tools/dist_test/server/Dockerfile.test,,ubuntu:14.04,natanielruiz,android-yolo
xstevens/dockerfiles,refs/heads/master,securitymonkey/secmonkey-api/Dockerfile,,debian:stretch-slim,xstevens,dockerfiles
openshift/dockerexec,refs/heads/master,vendor/src/github.com/docker/docker/builder/parser/testfiles/znc/Dockerfile,,ubuntu:14.04,openshift,dockerexec
rootfs/snapshot,refs/heads/master,vendor/k8s.io/kubernetes/examples/phabricator/php-phabricator/Dockerfile,,ubuntu:14.04,rootfs,snapshot
mariolukas/FabScanPi-Server,refs/heads/develop,docker/Dockerfile,,debian:buster,mariolukas,FabScanPi-Server
