repo_name,ref,path,symlink_target,docker_base_image
Intellection/docker-oauth2-proxy,refs/heads/master,Dockerfile,,debian:stretch-slim
twhittock/czmq,refs/heads/master,Dockerfile,,ubuntu:trusty
lewislyou/contrib,refs/heads/master,ingress/controllers/gce/Dockerfile,,ubuntu:14.04
lewislyou/contrib,refs/heads/master,images/ubuntu-slim/Dockerfile.build,,ubuntu:16.04
zoobab/malamute,refs/heads/master,Dockerfile,,ubuntu:trusty
zoobab/malamute,refs/heads/master,Dockerfile-dev,,ubuntu:trusty
hbredin/docker-piwigo,refs/heads/master,Dockerfile,,ubuntu:14.04
bhermansyah/DRR-datacenter,refs/heads/master,Dockerfile,,ubuntu:14.04
shangwuhencc/shogun,refs/heads/develop,configs/Dockerfile,,ubuntu:14.04
Tekstove/Tekstove,refs/heads/master,docker/php/Dockerfile,,debian:10
latex-g7-32/latex-g7-32,refs/heads/master,docker/Dockerfile,,debian:stretch
SuperElastix/elastix,refs/heads/develop,Dockerfile,,ubuntu:20.04
Praqma/luci-core,refs/heads/master,src/main/resources/docker/tools/Dockerfile,,ubuntu:14.04
jhoenicke/trezor-mcu,refs/heads/master,Dockerfile.emulator,,debian:9
jhoenicke/trezor-mcu,refs/heads/master,Dockerfile,,debian:9
ragnard/clojars-s3-sync,refs/heads/master,Dockerfile,,ubuntu:14.04
crazy-max/csgo-server-launcher,refs/heads/master,Dockerfile,,debian:bullseye-slim
nealhardesty/dockerfiles,refs/heads/master,sshbastion/Dockerfile,,ubuntu:16.04
nealhardesty/dockerfiles,refs/heads/master,spark/Dockerfile,,ubuntu:14.04
nealhardesty/dockerfiles,refs/heads/master,dev/Dockerfile,,ubuntu:16.04
maxwell92/docker,refs/heads/master,builder/parser/testfiles/continueIndent/Dockerfile,,ubuntu:14.04
maxwell92/docker,refs/heads/master,builder/parser/testfiles/influxdb/Dockerfile,,ubuntu:14.04
maxwell92/docker,refs/heads/master,builder/parser/testfiles/escapes/Dockerfile,,ubuntu:14.04
maxwell92/docker,refs/heads/master,builder/parser/testfiles/weechat/Dockerfile,,ubuntu:14.04
maxwell92/docker,refs/heads/master,builder/parser/testfiles/nginx/Dockerfile,,ubuntu:14.04
maxwell92/docker,refs/heads/master,builder/parser/testfiles/mail/Dockerfile,,ubuntu:14.04
maxwell92/docker,refs/heads/master,builder/parser/testfiles/mumble/Dockerfile,,ubuntu:14.04
maxwell92/docker,refs/heads/master,builder/parser/testfiles/znc/Dockerfile,,ubuntu:14.04
Clever/s3-to-redshift,refs/heads/master,Dockerfile,,debian:bullseye
okanasik/JdeRobot,refs/heads/master,test/packages/install_test/Dockerfile,,ubuntu:xenial
okanasik/JdeRobot,refs/heads/master,scripts/docker/jderobot/demos/cameraviewjs/Dockerfile,,ubuntu:xenial
okanasik/JdeRobot,refs/heads/master,scripts/docker/jderobot/official/Dockerfile,,ubuntu:xenial
okanasik/JdeRobot,refs/heads/master,scripts/docker/ubuntu/xenial/base/Dockerfile,,ubuntu:xenial
zaafar/bcc,refs/heads/master,Dockerfile.ubuntu,,ubuntu:trusty
nurkiewicz/docker-client,refs/heads/master,src/test/resources/dockerSslDirectory/Dockerfile,,ubuntu:14.04
bvanderveen/jsbsim-docker,refs/heads/master,docker/build/Dockerfile,,ubuntu:14.10
bvanderveen/jsbsim-docker,refs/heads/master,docker/run/Dockerfile,,ubuntu:14.10
gtank/kubernetes,refs/heads/master,examples/job/work-queue-1/Dockerfile,,ubuntu:14.04
gtank/kubernetes,refs/heads/master,examples/phabricator/php-phabricator/Dockerfile,,ubuntu:14.04
gtank/kubernetes,refs/heads/master,cluster/mesos/docker/socat/Dockerfile,,ubuntu:14.04.3
gtank/kubernetes,refs/heads/master,examples/celery-rabbitmq/flower/Dockerfile,,ubuntu:trusty
ria-ee/X-Road,refs/heads/develop,src/packages/docker-debbuild/Dockerfile,,ubuntu:trusty
servo/webrender,refs/heads/master,ci-scripts/docker-image/Dockerfile,,debian:buster-20200422
Oefenweb/ansible-postfix,refs/heads/master,Dockerfile,,ubuntu:16.04
JonathanSalwan/Triton,refs/heads/master,Dockerfile,,ubuntu:20.04
tonylixu/docker-compose,refs/heads/master,containers/zimbra/docker-container/docker/Dockerfile,,ubuntu:14.04
bazurbat/docker-wine,refs/heads/master,Dockerfile,,ubuntu:14.04
nerdalize/deltares-delft3d,refs/heads/master,6906.Dockerfile,,ubuntu:16.04
stefwalter/cockpit,refs/heads/master,containers/unit-tests/Dockerfile,,ubuntu:16.04
